household_id,sample_type,Target,Well,Cq,Cq_sd,Result,detect
HH001,produce,Enterovirus,D2,NA,NA,Equivocal,0
HH001,produce,Giardia,D3,NA,NA,Negative,0
HH001,produce,HF183,D4,NA,NA,Negative,0
HH001,produce,Helicobacter pylori,D5,NA,NA,Negative,0
HH001,produce,Hepatitis A,D6,NA,NA,Equivocal,0
HH001,produce,Hepatitis E,E1,NA,NA,Negative,0
HH001,produce,Listeria monocytogenes,E2,NA,NA,Negative,0
HH001,produce,MS2,E3,NA,NA,Negative,0
HH001,produce,Necator,E4,20.68,0.43,Positive,1
HH001,produce,No Template Control,E5,NA,NA,Equivocal,0
HH001,produce,Norovirus GI,E6,NA,NA,Equivocal,0
HH001,produce,Norovirus GII,F1,27.63,0.25,Positive,1
HH001,produce,Rotavirus A,F2,NA,NA,Equivocal,0
HH001,produce,STEC,F3,25.59,0.54,Positive,1
HH001,produce,Salmonella,F4,NA,NA,Negative,0
HH001,produce,Sapovirus,F5,NA,NA,Negative,0
HH001,produce,Shigella,F6,NA,NA,Negative,0
HH001,produce,Sketa22,G1,NA,NA,Negative,0
HH001,produce,Spiked_Extraction_Control,G2,NA,NA,Negative,0
HH001,produce,Strongyloides,G3,NA,NA,Negative,0
HH001,produce,Trichuris,G4,NA,NA,Negative,0
HH001,produce,Vibrio cholerae,G5,NA,NA,Negative,0
HH001,produce,Yersinia enterocolitica,G6,32.08,0.83,Positive,1
HH001,produce,blaCTX-M,H1,NA,NA,Negative,0
HH001,produce,blaNDM,H2,30.94,0.27,Positive,1
HH001,produce,mecA,H3,NA,NA,Negative,0
HH001,produce,qnrS,H4,24.19,0.16,Positive,1
HH001,produce,sul1,H5,24.05,0.71,Positive,1
HH001,produce,tetA,H6,NA,NA,Negative,0
HH002,compost,Adenovirus 40/41,A1,25.9,0.6,Positive,1
HH002,compost,Aeromonas,A2,NA,NA,Negative,0
HH002,compost,Ancylostoma,A3,NA,NA,Negative,0
HH002,compost,Ascaris,A4,26.42,0.92,Positive,1
HH002,compost,Astrovirus,A5,NA,NA,Negative,0
HH002,compost,BacHum,A6,NA,NA,Negative,0
HH002,compost,Bacteroides fragilis,B1,NA,NA,Negative,0
HH002,compost,Blastocystis,B2,NA,NA,Negative,0
HH002,compost,Campylobacter,B3,29.67,0.85,Positive,1
HH002,compost,Clostridium difficile,B4,20.2,0.4,Positive,1
HH002,compost,CrAssphage,B5,NA,NA,Negative,0
HH002,compost,Cryptosporidium,B6,31.36,0.2,Positive,1
HH002,compost,Cyclospora,C1,33.72,0.35,Positive,1
HH002,compost,Dientamoeba fragilis,C2,NA,NA,Negative,0
HH002,compost,E. coli O157,C3,NA,NA,Negative,0
HH002,compost,EAEC,C4,28.36,0.26,Positive,1
HH002,compost,EPEC,C5,26.67,0.17,Positive,1
HH002,compost,ETEC,C6,NA,NA,Negative,0
HH002,compost,Entamoeba histolytica,D1,NA,NA,Negative,0
HH002,compost,Enterovirus,D2,NA,NA,Equivocal,0
HH002,compost,Giardia,D3,20.93,0.73,Positive,1
HH002,compost,HF183,D4,NA,NA,Negative,0
HH002,compost,Helicobacter pylori,D5,27.71,0.35,Positive,1
HH002,compost,Hepatitis A,D6,NA,NA,Negative,0
HH002,compost,Hepatitis E,E1,NA,NA,Negative,0
HH002,compost,Listeria monocytogenes,E2,NA,NA,Negative,0
HH002,compost,MS2,E3,NA,NA,Negative,0
HH002,compost,Necator,E4,NA,NA,Negative,0
HH002,compost,No Template Control,E5,NA,NA,Negative,0
HH002,compost,Norovirus GI,E6,27.59,0.79,Positive,1
HH002,compost,Norovirus GII,F1,28.99,0.3,Positive,1
HH002,compost,Rotavirus A,F2,22.66,0.63,Positive,1
HH002,compost,STEC,F3,NA,NA,Negative,0
HH002,compost,Salmonella,F4,23.42,0.79,Positive,1
HH002,compost,Sapovirus,F5,NA,NA,Negative,0
HH002,compost,Shigella,F6,NA,NA,Negative,0
HH002,compost,Sketa22,G1,NA,NA,Negative,0
HH002,compost,Spiked_Extraction_Control,G2,NA,NA,Negative,0
HH002,compost,Strongyloides,G3,31.6,0.31,Positive,1
HH002,compost,Trichuris,G4,33.01,0.41,Positive,1
HH002,compost,Vibrio cholerae,G5,29.06,0.1,Positive,1
HH002,compost,Yersinia enterocolitica,G6,22.2,0.62,Positive,1
HH002,compost,blaCTX-M,H1,32.87,0.63,Positive,1
HH002,compost,blaNDM,H2,NA,NA,Negative,0
HH002,compost,mecA,H3,NA,NA,Negative,0
HH002,compost,qnrS,H4,NA,NA,Equivocal,0
HH002,compost,sul1,H5,NA,NA,Negative,0
HH002,compost,tetA,H6,NA,NA,Negative,0
HH002,effluent,Adenovirus 40/41,A1,22.61,0.26,Positive,1
HH002,effluent,Aeromonas,A2,NA,NA,Negative,0
HH002,effluent,Ancylostoma,A3,NA,NA,Negative,0
HH002,effluent,Ascaris,A4,22.43,0.96,Positive,1
HH002,effluent,Astrovirus,A5,NA,NA,Negative,0
HH002,effluent,BacHum,A6,NA,NA,Negative,0
HH002,effluent,Bacteroides fragilis,B1,23.55,0.57,Positive,1
HH002,effluent,Blastocystis,B2,30.27,0.41,Positive,1
HH002,effluent,Campylobacter,B3,33.02,0.54,Positive,1
HH002,effluent,Clostridium difficile,B4,24,0.62,Positive,1
HH002,effluent,CrAssphage,B5,29.67,0.73,Positive,1
HH002,effluent,Cryptosporidium,B6,33.11,0.62,Positive,1
HH002,effluent,Cyclospora,C1,27.54,0.7,Positive,1
HH002,effluent,Dientamoeba fragilis,C2,NA,NA,Negative,0
HH002,effluent,E. coli O157,C3,26.93,0.9,Positive,1
HH002,effluent,EAEC,C4,21.95,0.38,Positive,1
HH002,effluent,EPEC,C5,32.4,0.97,Positive,1
HH002,effluent,ETEC,C6,NA,NA,Negative,0
HH002,effluent,Entamoeba histolytica,D1,NA,NA,Equivocal,0
HH002,effluent,Enterovirus,D2,NA,NA,Negative,0
HH002,effluent,Giardia,D3,26.6,0.75,Positive,1
HH002,effluent,HF183,D4,NA,NA,Negative,0
HH002,effluent,Helicobacter pylori,D5,24.4,0.2,Positive,1
HH002,effluent,Hepatitis A,D6,NA,NA,Equivocal,0
HH002,effluent,Hepatitis E,E1,NA,NA,Negative,0
HH002,effluent,Listeria monocytogenes,E2,25.69,0.62,Positive,1
HH002,effluent,MS2,E3,NA,NA,Negative,0
HH002,effluent,Necator,E4,33.18,0.8,Positive,1
HH002,effluent,No Template Control,E5,NA,NA,Negative,0
HH002,effluent,Norovirus GI,E6,23.63,0.81,Positive,1
HH002,effluent,Norovirus GII,F1,NA,NA,Negative,0
HH002,effluent,Rotavirus A,F2,26.9,0.24,Positive,1
HH002,effluent,STEC,F3,22.64,0.85,Positive,1
HH002,effluent,Salmonella,F4,21.69,0.71,Positive,1
HH002,effluent,Sapovirus,F5,NA,NA,Negative,0
HH002,effluent,Shigella,F6,NA,NA,Negative,0
HH002,effluent,Sketa22,G1,NA,NA,Negative,0
HH002,effluent,Spiked_Extraction_Control,G2,NA,NA,Negative,0
HH002,effluent,Strongyloides,G3,25.06,0.33,Positive,1
HH002,effluent,Trichuris,G4,NA,NA,Negative,0
HH002,effluent,Vibrio cholerae,G5,32.82,0.89,Positive,1
HH002,effluent,Yersinia enterocolitica,G6,NA,NA,Negative,0
HH002,effluent,blaCTX-M,H1,NA,NA,Negative,0
HH002,effluent,blaNDM,H2,34.76,0.36,Positive,1
HH002,effluent,mecA,H3,NA,NA,Negative,0
HH002,effluent,qnrS,H4,27.9,0.68,Positive,1
HH002,effluent,sul1,H5,NA,NA,Equivocal,0
HH002,effluent,tetA,H6,NA,NA,Negative,0
HH002,produce,Adenovirus 40/41,A1,NA,NA,Negative,0
HH002,produce,Aeromonas,A2,NA,NA,Negative,0
HH002,produce,Ancylostoma,A3,NA,NA,Equivocal,0
HH002,produce,Ascaris,A4,NA,NA,Negative,0
HH002,produce,Astrovirus,A5,NA,NA,Negative,0
HH002,produce,BacHum,A6,NA,NA,Negative,0
HH002,produce,Bacteroides fragilis,B1,21.2,0.15,Positive,1
HH002,produce,Blastocystis,B2,20.49,0.55,Positive,1
HH002,produce,Campylobacter,B3,NA,NA,Equivocal,0
HH002,produce,Clostridium difficile,B4,NA,NA,Negative,0
HH002,produce,CrAssphage,B5,NA,NA,Negative,0
HH002,produce,Cryptosporidium,B6,NA,NA,Negative,0
HH002,produce,Cyclospora,C1,NA,NA,Negative,0
HH002,produce,Dientamoeba fragilis,C2,NA,NA,Negative,0
HH002,produce,E. coli O157,C3,NA,NA,Negative,0
HH002,produce,EAEC,C4,NA,NA,Equivocal,0
HH002,produce,EPEC,C5,NA,NA,Equivocal,0
HH002,produce,ETEC,C6,NA,NA,Negative,0
HH002,produce,Entamoeba histolytica,D1,NA,NA,Negative,0
HH002,produce,Enterovirus,D2,NA,NA,Negative,0
HH002,produce,Giardia,D3,NA,NA,Negative,0
HH002,produce,HF183,D4,NA,NA,Negative,0
HH002,produce,Helicobacter pylori,D5,NA,NA,Negative,0
HH002,produce,Hepatitis A,D6,NA,NA,Negative,0
HH002,produce,Hepatitis E,E1,NA,NA,Equivocal,0
HH002,produce,Listeria monocytogenes,E2,NA,NA,Negative,0
HH002,produce,MS2,E3,NA,NA,Negative,0
HH002,produce,Necator,E4,NA,NA,Negative,0
HH002,produce,No Template Control,E5,NA,NA,Negative,0
HH002,produce,Norovirus GI,E6,NA,NA,Negative,0
HH002,produce,Norovirus GII,F1,31.2,0.55,Positive,1
HH002,produce,Rotavirus A,F2,NA,NA,Negative,0
HH002,produce,STEC,F3,NA,NA,Negative,0
HH002,produce,Salmonella,F4,NA,NA,Negative,0
HH002,produce,Sapovirus,F5,NA,NA,Negative,0
HH002,produce,Shigella,F6,NA,NA,Negative,0
HH002,produce,Sketa22,G1,NA,NA,Negative,0
HH002,produce,Spiked_Extraction_Control,G2,NA,NA,Negative,0
HH002,produce,Strongyloides,G3,NA,NA,Equivocal,0
HH002,produce,Trichuris,G4,NA,NA,Negative,0
HH002,produce,Vibrio cholerae,G5,27.43,0.7,Positive,1
HH002,produce,Yersinia enterocolitica,G6,NA,NA,Negative,0
HH002,produce,blaCTX-M,H1,NA,NA,Negative,0
HH002,produce,blaNDM,H2,32.95,0.11,Positive,1
HH002,produce,mecA,H3,NA,NA,Negative,0
HH002,produce,qnrS,H4,NA,NA,Negative,0
HH002,produce,sul1,H5,NA,NA,Negative,0
HH002,produce,tetA,H6,NA,NA,Negative,0
HH003,compost,Adenovirus 40/41,A1,NA,NA,Negative,0
HH003,compost,Aeromonas,A2,NA,NA,Negative,0
HH003,compost,Ancylostoma,A3,21.26,0.79,Positive,1
HH003,compost,Ascaris,A4,20.94,0.48,Positive,1
HH003,compost,Astrovirus,A5,NA,NA,Negative,0
HH003,compost,BacHum,A6,NA,NA,Negative,0
HH003,compost,Bacteroides fragilis,B1,32.14,0.75,Positive,1
HH003,compost,Blastocystis,B2,24.29,0.8,Positive,1
HH003,compost,Campylobacter,B3,NA,NA,Negative,0
HH003,compost,Clostridium difficile,B4,NA,NA,Equivocal,0
HH003,compost,CrAssphage,B5,NA,NA,Negative,0
HH003,compost,Cryptosporidium,B6,NA,NA,Negative,0
HH003,compost,Cyclospora,C1,NA,NA,Negative,0
HH003,compost,Dientamoeba fragilis,C2,NA,NA,Negative,0
HH003,compost,E. coli O157,C3,NA,NA,Negative,0
HH003,compost,EAEC,C4,27.43,0.69,Positive,1
HH003,compost,EPEC,C5,NA,NA,Negative,0
HH003,compost,ETEC,C6,NA,NA,Negative,0
HH003,compost,Entamoeba histolytica,D1,NA,NA,Negative,0
HH003,compost,Enterovirus,D2,NA,NA,Negative,0
HH003,compost,Giardia,D3,NA,NA,Equivocal,0
HH003,compost,HF183,D4,NA,NA,Negative,0
HH003,compost,Helicobacter pylori,D5,NA,NA,Negative,0
HH003,compost,Hepatitis A,D6,NA,NA,Negative,0
HH003,compost,Hepatitis E,E1,NA,NA,Equivocal,0
HH003,compost,Listeria monocytogenes,E2,NA,NA,Negative,0
HH003,compost,MS2,E3,NA,NA,Negative,0
HH003,compost,Necator,E4,NA,NA,Negative,0
HH003,compost,No Template Control,E5,NA,NA,Negative,0
HH003,compost,Norovirus GI,E6,NA,NA,Negative,0
HH003,compost,Norovirus GII,F1,22.17,0.32,Positive,1
HH003,compost,Rotavirus A,F2,27.38,0.8,Positive,1
HH003,compost,STEC,F3,NA,NA,Negative,0
HH003,compost,Salmonella,F4,NA,NA,Negative,0
HH003,compost,Sapovirus,F5,NA,NA,Negative,0
HH003,compost,Shigella,F6,31.98,0.84,Positive,1
HH003,compost,Sketa22,G1,NA,NA,Negative,0
HH003,compost,Spiked_Extraction_Control,G2,NA,NA,Negative,0
HH003,compost,Strongyloides,G3,NA,NA,Equivocal,0
HH003,compost,Trichuris,G4,NA,NA,Equivocal,0
HH003,compost,Vibrio cholerae,G5,NA,NA,Negative,0
HH003,compost,Yersinia enterocolitica,G6,NA,NA,Negative,0
HH003,compost,blaCTX-M,H1,NA,NA,Negative,0
HH003,compost,blaNDM,H2,30.75,0.27,Positive,1
HH003,compost,mecA,H3,NA,NA,Negative,0
HH003,compost,qnrS,H4,27.68,0.98,Positive,1
HH003,compost,sul1,H5,NA,NA,Negative,0
HH003,compost,tetA,H6,NA,NA,Negative,0
HH003,effluent,Adenovirus 40/41,A1,30.29,0.21,Positive,1
HH003,effluent,Aeromonas,A2,NA,NA,Negative,0
HH003,effluent,Ancylostoma,A3,NA,NA,Negative,0
HH003,effluent,Ascaris,A4,NA,NA,Negative,0
HH003,effluent,Astrovirus,A5,28.65,0.88,Positive,1
HH003,effluent,BacHum,A6,NA,NA,Equivocal,0
HH003,effluent,Bacteroides fragilis,B1,26.68,0.21,Positive,1
HH003,effluent,Blastocystis,B2,33.85,0.58,Positive,1
HH003,effluent,Campylobacter,B3,30.3,0.4,Positive,1
HH003,effluent,Clostridium difficile,B4,NA,NA,Equivocal,0
HH003,effluent,CrAssphage,B5,NA,NA,Negative,0
HH003,effluent,Cryptosporidium,B6,20.08,0.29,Positive,1
HH003,effluent,Cyclospora,C1,NA,NA,Negative,0
HH003,effluent,Dientamoeba fragilis,C2,NA,NA,Negative,0
HH003,effluent,E. coli O157,C3,NA,NA,Negative,0
HH003,effluent,EAEC,C4,NA,NA,Negative,0
HH003,effluent,EPEC,C5,31.2,0.11,Positive,1
HH003,effluent,ETEC,C6,NA,NA,Negative,0
HH003,effluent,Entamoeba histolytica,D1,NA,NA,Negative,0
HH003,effluent,Enterovirus,D2,NA,NA,Negative,0
HH003,effluent,Giardia,D3,NA,NA,Negative,0
HH003,effluent,HF183,D4,NA,NA,Negative,0
HH003,effluent,Helicobacter pylori,D5,NA,NA,Negative,0
HH003,effluent,Hepatitis A,D6,NA,NA,Negative,0
HH003,effluent,Hepatitis E,E1,NA,NA,Negative,0
HH003,effluent,Listeria monocytogenes,E2,NA,NA,Negative,0
HH003,effluent,MS2,E3,NA,NA,Negative,0
HH003,effluent,Necator,E4,24.12,0.89,Positive,1
HH003,effluent,No Template Control,E5,NA,NA,Negative,0
HH003,effluent,Norovirus GI,E6,33.58,0.5,Positive,1
HH003,effluent,Norovirus GII,F1,NA,NA,Negative,0
HH003,effluent,Rotavirus A,F2,31.26,0.82,Positive,1
HH003,effluent,STEC,F3,33.83,0.75,Positive,1
HH003,effluent,Salmonella,F4,32.1,0.16,Positive,1
HH003,effluent,Sapovirus,F5,NA,NA,Negative,0
HH003,effluent,Shigella,F6,NA,NA,Negative,0
HH003,effluent,Sketa22,G1,NA,NA,Negative,0
HH003,effluent,Spiked_Extraction_Control,G2,NA,NA,Negative,0
HH003,effluent,Strongyloides,G3,21.74,0.66,Positive,1
HH003,effluent,Trichuris,G4,NA,NA,Negative,0
HH003,effluent,Vibrio cholerae,G5,23.84,0.65,Positive,1
HH003,effluent,Yersinia enterocolitica,G6,31.96,0.96,Positive,1
HH003,effluent,blaCTX-M,H1,NA,NA,Negative,0
HH003,effluent,blaNDM,H2,23.9,0.93,Positive,1
HH003,effluent,mecA,H3,NA,NA,Negative,0
HH003,effluent,qnrS,H4,23.15,0.13,Positive,1
HH003,effluent,sul1,H5,NA,NA,Negative,0
HH003,effluent,tetA,H6,NA,NA,Negative,0
HH003,produce,Adenovirus 40/41,A1,NA,NA,Negative,0
HH003,produce,Aeromonas,A2,NA,NA,Equivocal,0
HH003,produce,Ancylostoma,A3,24.46,0.34,Positive,1
HH003,produce,Ascaris,A4,NA,NA,Negative,0
HH003,produce,Astrovirus,A5,NA,NA,Negative,0
HH003,produce,BacHum,A6,NA,NA,Negative,0
HH003,produce,Bacteroides fragilis,B1,23.52,0.82,Positive,1
HH003,produce,Blastocystis,B2,NA,NA,Negative,0
HH003,produce,Campylobacter,B3,NA,NA,Negative,0
HH003,produce,Clostridium difficile,B4,NA,NA,Negative,0
HH003,produce,CrAssphage,B5,NA,NA,Negative,0
HH003,produce,Cryptosporidium,B6,NA,NA,Negative,0
HH003,produce,Cyclospora,C1,NA,NA,Negative,0
HH003,produce,Dientamoeba fragilis,C2,NA,NA,Negative,0
HH003,produce,E. coli O157,C3,NA,NA,Negative,0
HH003,produce,EAEC,C4,21.85,0.56,Positive,1
HH003,produce,EPEC,C5,NA,NA,Negative,0
HH003,produce,ETEC,C6,NA,NA,Negative,0
HH003,produce,Entamoeba histolytica,D1,NA,NA,Negative,0
HH003,produce,Enterovirus,D2,NA,NA,Equivocal,0
HH003,produce,Giardia,D3,22.97,0.3,Positive,1
HH003,produce,HF183,D4,25.19,0.86,Positive,1
HH003,produce,Helicobacter pylori,D5,NA,NA,Negative,0
HH003,produce,Hepatitis A,D6,NA,NA,Negative,0
HH003,produce,Hepatitis E,E1,NA,NA,Negative,0
HH003,produce,Listeria monocytogenes,E2,NA,NA,Negative,0
HH003,produce,MS2,E3,NA,NA,Negative,0
HH003,produce,Necator,E4,NA,NA,Negative,0
HH003,produce,No Template Control,E5,NA,NA,Negative,0
HH003,produce,Norovirus GI,E6,29.73,0.94,Positive,1
HH003,produce,Norovirus GII,F1,NA,NA,Equivocal,0
HH003,produce,Rotavirus A,F2,NA,NA,Negative,0
HH003,produce,STEC,F3,NA,NA,Negative,0
HH003,produce,Salmonella,F4,NA,NA,Negative,0
HH003,produce,Sapovirus,F5,NA,NA,Negative,0
HH003,produce,Shigella,F6,NA,NA,Negative,0
HH003,produce,Sketa22,G1,33.96,0.13,Positive,1
HH003,produce,Spiked_Extraction_Control,G2,NA,NA,Negative,0
HH003,produce,Strongyloides,G3,NA,NA,Negative,0
HH003,produce,Trichuris,G4,NA,NA,Equivocal,0
HH003,produce,Vibrio cholerae,G5,NA,NA,Negative,0
HH003,produce,Yersinia enterocolitica,G6,NA,NA,Negative,0
HH003,produce,blaCTX-M,H1,29.34,0.45,Positive,1
HH003,produce,blaNDM,H2,NA,NA,Negative,0
HH003,produce,mecA,H3,33.68,0.78,Positive,1
HH003,produce,qnrS,H4,34.49,0.93,Positive,1
HH003,produce,sul1,H5,NA,NA,Equivocal,0
HH003,produce,tetA,H6,NA,NA,Negative,0
HH004,compost,Adenovirus 40/41,A1,NA,NA,Negative,0
HH004,compost,Aeromonas,A2,24.15,0.51,Positive,1
HH004,compost,Ancylostoma,A3,26.12,0.42,Positive,1
HH004,compost,Ascaris,A4,NA,NA,Negative,0
HH004,compost,Astrovirus,A5,22.02,0.37,Positive,1
HH004,compost,BacHum,A6,21.68,0.98,Positive,1
HH004,compost,Bacteroides fragilis,B1,20.32,0.32,Positive,1
HH004,compost,Blastocystis,B2,NA,NA,Negative,0
HH004,compost,Campylobacter,B3,NA,NA,Negative,0
HH004,compost,Clostridium difficile,B4,NA,NA,Negative,0
HH004,compost,CrAssphage,B5,NA,NA,Negative,0
HH004,compost,Cryptosporidium,B6,NA,NA,Equivocal,0
HH004,compost,Cyclospora,C1,NA,NA,Negative,0
HH004,compost,Dientamoeba fragilis,C2,NA,NA,Negative,0
HH004,compost,E. coli O157,C3,NA,NA,Negative,0
HH004,compost,EAEC,C4,28.08,0.46,Positive,1
HH004,compost,EPEC,C5,NA,NA,Negative,0
HH004,compost,ETEC,C6,NA,NA,Equivocal,0
HH004,compost,Entamoeba histolytica,D1,NA,NA,Negative,0
HH004,compost,Enterovirus,D2,34.66,0.22,Positive,1
HH004,compost,Giardia,D3,NA,NA,Negative,0
HH004,compost,HF183,D4,NA,NA,Negative,0
HH004,compost,Helicobacter pylori,D5,NA,NA,Negative,0
HH004,compost,Hepatitis A,D6,23.16,0.29,Positive,1
HH004,compost,Hepatitis E,E1,NA,NA,Negative,0
HH004,compost,Listeria monocytogenes,E2,NA,NA,Negative,0
HH004,compost,MS2,E3,25.66,0.61,Positive,1
HH004,compost,Necator,E4,25.34,0.27,Positive,1
HH004,compost,No Template Control,E5,NA,NA,Negative,0
